,loss,f1_micro,f1_macro,accuracy
0,0.17573429154232145,0.8987272727272727,0.8343242832276395,0.8987272727272727
1,0.08554412593514743,0.9562727272727273,0.9294874960377001,0.9562727272727273
2,0.05538813299901614,0.9731818181818181,0.9579657425829323,0.9731818181818181
3,0.03389893736605617,0.9850909090909091,0.9774499558644647,0.9850909090909091
4,0.027477572713449427,0.9881818181818182,0.9777916218237778,0.9881818181818182
5,0.021238281265514986,0.9908181818181818,0.9850171863193253,0.9908181818181818
6,0.01585237143921073,0.9930909090909091,0.9884016945621223,0.9930909090909091
7,0.012463537153671496,0.9950909090909091,0.9920561074892625,0.9950909090909091
8,0.014012151543389667,0.9933636363636363,0.9865800097578876,0.9933636363636363
9,0.015176603218635799,0.9933636363636363,0.9877171867793526,0.9933636363636363
